elec_date,entity_description,race_number,race_description,race_party,tot_race_prec,race_prec_reporting,cand_number,cand_name,cand_party,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes,race_county_owner
11/8/2022,"FEDERAL, STATE AND COUNTY",10001,"FOR GOVERNOR",,1984,1984,1,"NATALIE BRUNO",LIB,804,1077,14362,16243,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10001,"FOR GOVERNOR",,1984,1984,2,"KEVIN STITT",REP,26206,66171,547107,639484,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10001,"FOR GOVERNOR",,1984,1984,3,"JOY HOFMEISTER",DEM,43036,63822,375046,481904,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10001,"FOR GOVERNOR",,1984,1984,4,"ERVIN STONE YEN",IND,692,1172,13789,15653,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10002,"FOR LIEUTENANT GOVERNOR",,1984,1984,1,"CHRIS POWELL",LIB,2181,3833,41212,47226,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10002,"FOR LIEUTENANT GOVERNOR",,1984,1984,2,"MATT PINNELL",REP,33492,78491,632020,744003,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10002,"FOR LIEUTENANT GOVERNOR",,1984,1984,3,"MELINDA L. ALIZADEH-FARD",DEM,34574,49335,271854,355763,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10004,"FOR ATTORNEY GENERAL",,1984,1984,1,"LYNDA STEELE",LIB,22522,34761,224640,281923,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10004,"FOR ATTORNEY GENERAL",,1984,1984,2,"GENTNER F. DRUMMOND",REP,39321,85910,667235,792466,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10005,"FOR STATE TREASURER",,1984,1984,1,"GREGORY J. SADLER",LIB,2327,4246,45285,51858,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10005,"FOR STATE TREASURER",,1984,1984,2,"TODD RUSS",REP,33342,77758,627445,738545,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10005,"FOR STATE TREASURER",,1984,1984,3,"CHARLES DE COUNE",DEM,34049,48955,266872,349876,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10006,"FOR SUPERINTENDENT OF PUBLIC INSTRUCTION",,1984,1984,1,"RYAN WALTERS",REP,27109,66957,556244,650310,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10006,"FOR SUPERINTENDENT OF PUBLIC INSTRUCTION",,1984,1984,2,"JENA NELSON",DEM,43080,64563,387388,495031,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10007,"FOR COMMISSIONER OF LABOR",,1984,1984,1,"WILL DAUGHERTY",LIB,2375,4606,50025,57006,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10007,"FOR COMMISSIONER OF LABOR",,1984,1984,2,"LESLIE KATHRYN OSBORN",REP,36618,79963,630456,747037,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10007,"FOR COMMISSIONER OF LABOR",,1984,1984,3,"JACK HENDERSON",DEM,30604,46184,256953,333741,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10009,"FOR CORPORATION COMMISSIONER",,1984,1984,1,"KIM DAVID",REP,32507,76203,613364,722074,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10009,"FOR CORPORATION COMMISSIONER",,1984,1984,2,"MARGARET WARIGIA BOWMAN",DEM,34187,48692,268360,351239,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10009,"FOR CORPORATION COMMISSIONER",,1984,1984,3,"DON UNDERWOOD",IND,2843,5805,55246,63894,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10010,"FOR UNITED STATES SENATOR",,1984,1984,1,"KENNETH D. BLEVINS",LIB,896,1456,18143,20495,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10010,"FOR UNITED STATES SENATOR",,1984,1984,2,"JAMES LANKFORD",REP,32741,77507,629712,739960,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10010,"FOR UNITED STATES SENATOR",,1984,1984,3,"MADISON HORN",DEM,35904,51442,282024,369370,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10010,"FOR UNITED STATES SENATOR",,1984,1984,4,"MICHAEL L DELANEY",IND,1057,1655,18195,20907,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",,1984,1984,1,"ROBERT MURPHY",LIB,739,1244,15403,17386,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",,1984,1984,2,"MARKWAYNE MULLIN",REP,30300,74040,606303,710643,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",,1984,1984,3,"KENDRA HORN",DEM,38781,55496,311112,405389,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",,1984,1984,4,"RAY WOODS",IND,750,1307,15006,17063,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10012,"FOR UNITED STATES REPRESENTATIVE DISTRICT 01",,294,294,1,"KEVIN HERN",REP,6110,11717,124973,142800,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10012,"FOR UNITED STATES REPRESENTATIVE DISTRICT 01",,294,294,2,"ADAM MARTIN",DEM,7896,9970,63108,80974,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10012,"FOR UNITED STATES REPRESENTATIVE DISTRICT 01",,294,294,3,"EVELYN L. ROGERS",IND,503,752,8466,9721,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10013,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",,546,546,1,"JOSH BRECHEEN",REP,4016,18877,144950,167843,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10013,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",,546,546,2,"NAOMI ANDREWS",DEM,2941,8490,42763,54194,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10013,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",,546,546,3,"BULLDOG BEN ROBINSON",IND,278,978,8379,9635,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10014,"FOR UNITED STATES REPRESENTATIVE DISTRICT 03",,462,462,1,"FRANK D. LUCAS",REP,5389,16001,126028,147418,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10014,"FOR UNITED STATES REPRESENTATIVE DISTRICT 03",,462,462,2,"JEREMIAH A ROSS",DEM,3779,6867,39708,50354,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10015,"FOR UNITED STATES REPRESENTATIVE DISTRICT 04",,362,362,1,"TOM COLE",REP,6996,18008,124875,149879,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10015,"FOR UNITED STATES REPRESENTATIVE DISTRICT 04",,362,362,2,"MARY BRANNON",DEM,7180,11534,55953,74667,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10016,"FOR UNITED STATES REPRESENTATIVE DISTRICT 05",,320,320,1,"STEPHANIE BICE",REP,11676,15194,125829,152699,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10016,"FOR UNITED STATES REPRESENTATIVE DISTRICT 05",,320,320,2,"JOSHUA HARRIS-TILL",DEM,12811,12490,71498,96799,,
11/8/2022,"FEDERAL, STATE AND COUNTY",10016,"FOR UNITED STATES REPRESENTATIVE DISTRICT 05",,320,320,3,"DAVID K. FROSCH",IND,654,734,7940,9328,,
